word,platform_origin,platform_origin_confidence,source,notes
BFFL,instant_messaging_texting,medium,https://www.psychologytoday.com/us/blog/the-friendship-doctor/201009/bff-dob-1996-welcome-the-oxford-english-dictionary,"Inference from BFF evidence: BFF was popularized through IM/texting, and BFFL appears to be a straightforward extension of that pattern rather than a separately documented platform-born term."
CBA,instant_messaging_texting,medium,https://www.noslang.com/search/cba,"The phrase is older British slang, but the acronym form is strongly tied to texting/chat abbreviation usage rather than one public social platform."
chillax,offline_general_slang,medium,https://www.collinsdictionary.com/us/dictionary/english/chillax,"Dictionary evidence points to a 20th-century blend of chill and relax, but not to one clear online platform."
DFTBA,youtube,high,https://knowyourmeme.com/memes/people/john-green,Strongly tied to the Vlogbrothers on YouTube; the phrase is documented as a catchphrase they began using in their vlogs in 2007.
GLHF,gaming,high,https://www.dictionary.com/browse/glhf,Clearly documented as an abbreviation used especially in online video game chat.
bling,music_hiphop,high,https://en.wikipedia.org/wiki/Bling-bling,"The term’s mainstream slang spread is strongly tied to hip-hop, especially the late-1990s popularization through rap."
Brotox,offline_general_slang,low,inference,"The term clearly exists as a Botox-for-men blend, but I did not find strong evidence for one specific origin platform; it looks more like diffuse media/cosmetic-discourse usage."
celebutante,offline_general_slang,high,https://www.merriam-webster.com/dictionary/celebutante,This appears to be a print/media coinage rather than an internet-platform-born term.
bromance,offline_general_slang,high,https://greensdictofslang.com/entry/jlllo5q,"Green’s cites late-1990s Big Brother magazine usage, so the term looks print/subcultural before broader internet diffusion."
netizen,internet_forums,high,https://en.wikipedia.org/wiki/Netizen,The term is tied to early internet community discourse and Michael Hauben’s mid-1990s framing of online citizens.
incel,internet_forums,high,https://www.dictionary.com/culture/slang/incel,"The term is tied to Alana's 1997 online community for involuntary celibates, so this looks internet-community born rather than platform-neutral."
meme,printed_literature,high,https://www.merriam-webster.com/wordplay/meme-word-origins-history,"Dawkins coined it in The Selfish Gene in 1976, so the term itself is print/book-born even though later internet usage transformed it."
fanboy,offline_general_slang,high,https://www.merriam-webster.com/dictionary/fanboy,"First attested long before the modern internet, so this looks like older general fandom slang rather than platform-born slang."
lowkey,offline_general_slang,high,inference,This is best treated as established spoken slang rather than something traceable to one internet platform.
twit,twitter,high,inference,"The older word twit predates Twitter, but in this dataset the annotated meaning is specifically shorthand for Twitter, so the relevant slang sense is Twitter-linked."
spam,internet_forums,low,https://www.wired.com/2007/05/dayintech-0501,"The online sense is clearly early-internet, but it spread across email, ARPANET, newsgroups, and related networked contexts, so internet_forums is only an approximation."
AWOL,offline_general_slang,high,https://www.merriam-webster.com/dictionary/AWOL,This is a military acronym from long before internet culture and only later broadened into general slang.
badass,offline_general_slang,high,https://www.merriam-webster.com/dictionary/badass,"Clearly older U.S. slang, not internet-born."
peeps,offline_general_slang,high,https://www.merriam-webster.com/dictionary/peeps,"Merriam-Webster traces it to a shortening/respelling of people, with first known use in 1951."
