word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
money,8734750947,2010-02-06,"@holyxuxa Double the production, double the fun and double the money. Enjoy!",25765041,money; cash; wealth,money,humor,false,Manual override -> humor
money,8734751640,2010-02-06,@favoriteqirl_xo  lol shee buqqin . she was like i see all that money on ya niqhtstand i was like okkkkkk lol,29850962,money; cash; wealth,money,casual_conversation,false,Manual override -> casual_conversation
money,8734753747,2010-02-06,@LKHamilton I think this is the best response a writer has had for her character. It shows that you look at Anita as more than a money bag,96484071,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8734753889,2010-02-06,@stephgiannetti i was wondering the same thing when I was there earlier. I guess people spending their tax money haha,28924699,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8734754243,2010-02-06,"@megHamonster tv makes money off ads, it's not like you can skip them on those websites...duhh lol",22961220,money; cash; wealth,money,technology_discussion,false,Manual override -> technology_discussion
money,8734754589,2010-02-06,5 0 mustve spent her money on that gold tooth 0.o,22022690,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8734755608,2010-02-06,#retweetThis if you hate it when fools always wanna get drunk and never wanna contribute money to the cause. Cheap fuckers!!!,17395130,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8734755653,2010-02-06,@erockradio monster cables are a waste of money.  trust me,27043582,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8734757687,2010-02-06,To save money using your phone download Cellfire app. blackberry or iphone only.,74506860,money; cash; wealth,money,technology_discussion,false,Manual override -> technology_discussion
money,8734757824,2010-02-06,so i really really really like me new car! yay tax money! and yay pusshy momma that pushed me to enroll in school!!,25965296,money; cash; wealth,money,work_school,false,Manual override -> work_school
money,8740978526,2010-02-06,@mr718wave yea u need somethin...lol....naaaah...u good money..,58539567,money; cash; wealth,money,casual_conversation,false,Manual override -> casual_conversation
money,8740978647,2010-02-06,Basictweet~ doing kinky twist getting money!,96423517,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8740979585,2010-02-06,"@mackmaine Watch New Money Twinz - ""Its The Return of Pac & Biggie"" Teaser. Offical Video coming soon on Vimeo! http://vimeo.com/9257614",25915690,money; cash; wealth,money,music_discussion,false,Manual override -> music_discussion
money,8740979919,2010-02-06,"I've got my ""Easy Brainer"" FOR MONEY; get yours. $14.99 cake walk system provides incredible recurring income: http://su.pr/2HbTGv",97060074,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,8740980127,2010-02-06,@LIFE_SIZE pay your 75$ Monday for senior trip no money no trip,106036768,money; cash; wealth,money,work_school,false,Manual override -> work_school
money,8740981092,2010-02-06,"@djadam12 ... ""Money is like dung:if one doesn't waste it, there'll be little sense in it"" Francis Bacon..It consoles,doesn't it? =)",22118626,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8740981113,2010-02-06,"@turquoisemood we had a lawyer on the first case and yes, it costed a ton of money",96029439,money; cash; wealth,money,work_school,false,Manual override -> work_school
money,8740982411,2010-02-06,"See I'm real, never tried to piss Jose off,, just made him money i respect the cocaine boss,,",27461930,money; cash; wealth,money,commenting,false,Manual override -> commenting
money,8740982618,2010-02-06,They only giving me 50$ back cause supposedly I earned too much money! Grr lol,69078367,money; cash; wealth,money,work_school,false,Manual override -> work_school
money,8740983429,2010-02-06,"I f*cked my money up, now I can't re-up... Ahhhh!...lol",91425645,money; cash; wealth,money,self_description,false,Manual override -> self_description
money,9235786403,2010-02-17,#nigeriangrammar You Go Chop Me Money lols !!,94805832,money; cash; wealth,money,commenting,false,
money,9235786532,2010-02-17,"If you go to recovery.gov to look at Stimulus grant money, it has cost $96,305.80 per job - http://bit.ly/c07ntz (via @jamiedupree)",18308333,money; cash; wealth,money,article_sharing,false,Manual override -> article_sharing
money,9235786765,2010-02-17,Biden: US got 'money's worth' from stimulus act http://bit.ly/aYqmY4,16951756,money; cash; wealth,money,news_reaction,false,Manual override -> news_reaction
money,9235787199,2010-02-17,@APreppyPrincess Yeah me too. I'm all about joining as fans but anything that involves money..I'm out,15703583,money; cash; wealth,money,casual_conversation,false,
money,9235787387,2010-02-17,losing all my money to @stefaniecs,47632689,money; cash; wealth,money,casual_conversation,false,
money,9235787631,2010-02-17,Does Your Lender Owe You Money? Find Out!	http://bit.ly/67e8Om,106386475,money; cash; wealth,money,article_sharing,false,
money,9235790325,2010-02-17,@Pavlina20 Wish I had a job that paid me to hit a red button anytime I wanted money. I'd get paid... for getting paid.,26812133,money; cash; wealth,money,humor,false,Manual override -> humor
money,9235790852,2010-02-17,Well time to make the money and get some coffee yummm,20011652,money; cash; wealth,money,work_school,false,Manual override -> work_school
money,9235791225,2010-02-17,"@Serendipity247 if I were you, I had skipped work. I mean, Lost is after all FAR more important than earning money, isn't it?! :P",9495962,money; cash; wealth,money,work_school,false,Manual override -> work_school
money,9235791345,2010-02-17,RT @iPlayRPG: Leona Lewis did FFXIII because of the strong female protagonist - not the money. New blog post: http://bit.ly/ae4ZVt,43521670,money; cash; wealth,money,article_sharing,false,Manual override -> article_sharing
money,9467730479,2010-02-22,"Lawyers, Guns and Money: Don't Count Your Money While You're ... http://bit.ly/cpl80k",59756714,money; cash; wealth,money,article_sharing,false,Manual override -> article_sharing
money,9467730556,2010-02-22,How would you like to make money with your twitter account every single day on auto pilot.http://bit.ly/bj5bQG,66455249,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9467730606,2010-02-22,$$$$$ Learn Affiliate Marketing Online Lessons - How To Earn Money ... http://bit.ly/dhhLMc,24195617,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9467730782,2010-02-22,Tired Of Not Making Money On The Internet?  Look At These Videos To Find Out How You Can Make Money With Twitter:  http://bit.ly/6GAIk2,114270889,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9467730800,2010-02-22,Elijah Fields' Money Pictures: Twitter Photos Followed By Dismissal http://bit.ly/afaFLO,59756714,money; cash; wealth,money,article_sharing,false,Manual override -> article_sharing
money,9467731282,2010-02-22,"If You’re Looking To Get In Profit Mode And Start Making Money Online, You Need To Watch These 6 Free Videos:  http://bit.ly/5fTYtG",114356154,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9467731768,2010-02-22,@home_jobs_indiaHi.Do you want to earn money in your part time?You can earn more than 1 lakh in a month. Visit https://time2rich.com/kirank,115929672,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9467732106,2010-02-22,Open Thread: Can MySpace Really Make a Comeback?: While a slew of respondents said bribes - from money to puppies ... http://bit.ly/cLSpOe,91529685,money; cash; wealth,money,article_sharing,false,Manual override -> article_sharing
money,9467732655,2010-02-22,Now on DA Bhisho: EASTERN CAPE RECEIVES DROP IN THE MONEY BUCKET FOR DROUGHT RELIEF http://www.dabhisho.org.za/?p=950,106037597,money; cash; wealth,money,article_sharing,false,
money,9467732783,2010-02-22,Are You Tired Of Not Making Money With Twitter?  These Six Free Videos Will Get The Cash Rolling:  http://bit.ly/7lzsK3,114659727,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9768959581,2010-02-28,RT @BIG_MONEY_BANGA: Todays the day I lost tha only real lady I ever loved soo far in life,73928566,money; cash; wealth,money,casual_conversation,false,
money,9768959875,2010-02-28,"Start making money in hours, literally, this is sick stuff http://bit.ly/dgIKLV",86238028,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9768959930,2010-02-28,[WTS] WhiteHat/GreyHat Method To Make Money Online With Twitter: WhiteHat/GreyHat Method To Make Money Online With... http://bit.ly/dxHHCk,10849692,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
money,9768959970,2010-02-28,American Idol finalist recalls earthquake via Twitter - The Money Times http://bit.ly/9gOTL1,20566192,money; cash; wealth,money,news_reaction,false,Manual override -> news_reaction
money,9768960778,2010-02-28,Long Money and that's not all Hunney ;-)  http://twitpic.com/15t99x,28459964,money; cash; wealth,money,article_sharing,false,
money,9768961480,2010-02-28,@kweeneverything Money Train sex scene 2.0 is enough for me. Half an aereola and I'm ret to GO!,35181499,money; cash; wealth,money,television_reference,false,Manual override -> television_reference
money,9768966166,2010-02-28,"INDIA SHOULD HAVE SPEND MORE MONEY FOR DEFENCE,IS'NT IT?",76323083,money; cash; wealth,money,commenting,false,
money,9768966408,2010-02-28,@dylanlive kelsey says: i think your really dumb for like wasting that money and... (then i couldnt understand her cause she's half asleep),20728601,money; cash; wealth,money,casual_conversation,false,
money,9768966503,2010-02-28,March Shopping Trip 1 | Saving Money: Walmart: 2.5 pounds of Granny Smith apples – $3.41. One green pepper – $0.94... http://bit.ly/bqkG2F,83910939,money; cash; wealth,money,food_related,false,Manual override -> food_related
money,9886285845,2010-03-02,Everyone saves money with our 5-10-15 Sale. Save at least 5% and up to 15% on Good for Your Dog Supplies at SitStay.com! http://pricepickle.,21620828,money; cash; wealth,money,advertising_spam,false,Manual override -> advertising_spam
