word,tweet_count,first_date,last_date,term_meaning,term_category,origin_platform,origin_platform_confidence,notes
a-list,460,2010-01-05,2010-12-30,"elite, top-tier, high-status",description,offline_general_slang,medium,Batch 8 approved after review; treated as a status descriptor rather than approval.
annihilated,479,2010-01-07,2011-01-01,"completely destroyed, defeated, or overwhelmed",description,offline_general_slang,high,Batch 5 approved after review; matched to Gen-Z taxonomy.
AWOL,479,2010-01-02,2010-12-15,"""Absent Without Leave""; missing, gone, or unexpectedly absent",description,offline_general_slang,high,Batch 3 approved after review; acronym expansion included in quoted form.
badass,493,2010-01-06,2010-12-29,"tough, formidable, striking, or impressively cool",description,offline_general_slang,high,Batch 2 approved after review; resolved to description rather than approval.
Baltimoron,201,2010-01-04,2011-01-05,a disparaging term for someone from Baltimore,insult,offline_general_slang,low,
BFFL,494,2010-01-02,2010-12-30,"""Best Friend For Life""; a very close lifelong friend",social,instant_messaging_texting,medium,Batch 2 approved after review; matched to Gen-Z taxonomy.
Bible-thumping,232,2010-01-20,2010-12-31,"aggressively pious, preachy, or moralizing",religion,offline_general_slang,high,Batch 12 approved after review; existing 2010-only religion category used.
blankie,212,2010-01-13,2010-12-09,blanket; affectionate or childlike word for blanket,description,offline_general_slang,high,Batch 12 approved after review; weak taxonomy fit retained for full coverage.
bling,259,2010-02-15,2010-12-15,flashy jewelry or flashy style/accessories,appearance,music_hiphop,high,Batch 12 approved after review; matched to Gen-Z taxonomy.
blowjob,469,2010-01-03,2010-12-09,oral sex performed on a penis,sex,offline_general_slang,high,Batch 8 approved after review; existing 2010-only sex category used.
blumpkin,260,2010-01-04,2011-01-01,oral sex performed on someone using the toilet,sex,internet_forums,low,Batch 12 approved after review; existing 2010-only sex category used.
bodice-ripper,238,2010-01-04,2010-12-30,melodramatic romance novel,dating,printed_literature,high,Batch 12 approved after review; dataset usage clearly reflects the romance-novel genre sense.
bomb,303,2010-01-17,2011-01-01,excellent; very good; impressive,approval,offline_general_slang,high,Batch 11 approved after review; fixed slang meaning used despite some literal rows.
bonehead,204,2010-01-06,2010-11-18,stupid person; fool,insult,offline_general_slang,high,Batch 12 approved after review; matched to Gen-Z taxonomy.
booty,456,2010-01-08,2010-12-02,buttocks; sexy rear end,attraction,offline_general_slang,high,Batch 8 approved after review; attraction chosen over appearance/sex due to sexualized desirability sense.
bowl,489,2010-01-02,2010-12-29,"a bowl; also used in compounds like ""Super Bowl"" or ""bowl game""",description,offline_general_slang,medium,
