slang_term,term_category,term_meaning
ate,approval,"did really well, killed it"
aura,identity,personal energy/presence points
based,approval,"authentic, not caring about opinions"
beige flag,dating,"neutral trait, neither good nor bad"
brain rot,humor,consuming too much internet content
brat,identity,"chaotic, messy summer energy"
bussin,approval,"really good, especially food"
caught in 4k,exposure,caught red-handed with evidence
cheugy,insult,"outdated, trying too hard"
cooked,reaction,"done for, ruined"
delulu,insult,"delusional, unrealistic expectations"
demure,appearance,"modest, reserved (often ironic)"
era,identity,current phase of life
fanum tax,humor,taking someone's food
gaslighting,manipulation,psychological manipulation
girl dinner,food,random snack-based meal
girl math,humor,humorous financial justification
gyatt,reaction,expression of attraction
hits different,emotion,affects you in a unique way
ick,dating,sudden turn-off feeling
its giving,description,it has the vibe of
looksmaxxing,appearance,maximizing physical appearance
main character,identity,being the protagonist of your life
mewing,appearance,tongue posture for jawline
mid,insult,"mediocre, nothing special"
no cap,emphasis,"no lie, for real"
NPC,insult,someone who acts scripted/robotic
ohio,humor,"weird, cursed, absurd"
periodt,emphasis,"end of discussion, period"
rent free,emotion,constantly thinking about something
rizz,attraction,"charisma, ability to attract others"
Roman Empire,humor,thing someone thinks about obsessively
sheesh,reaction,expression of amazement
sigma,identity,lone wolf personality type
simp,insult,someone overly devoted to another person
skibidi,meme,random/absurdist humor reference
slaps,approval,"really good, especially music"
slay,approval,doing something exceptionally well
snatched,appearance,"looking really good, on point"
touch grass,insult,"go outside, take a break from internet"
understood the assignment,approval,did exactly what was needed
unhinged,behavior,"wild, chaotic behavior"
valid,approval,"acceptable, makes sense"
very mindful,humor,being conscious and considerate
vibe check,social,checking someone's mood/energy
yapping,behavior,talking too much
